DATE,WM1NS
1975-01-06,286.5
1975-01-13,282.2
1975-01-20,279.1
1975-01-27,270.9
1975-02-03,271.1
1975-02-10,271.0
1975-02-17,270.8
1975-02-24,267.1
1975-03-03,271.0
1975-03-10,274.1
1975-03-17,273.9
1975-03-24,271.2
1975-03-31,272.9
1975-04-07,278.9
1975-04-14,281.1
1975-04-21,279.3
1975-04-28,272.9
1975-05-05,273.0
1975-05-12,274.2
1975-05-19,274.7
1975-05-26,273.8
1975-06-02,278.1
1975-06-09,281.7
1975-06-16,284.9
1975-06-23,281.5
1975-06-30,282.2
1975-07-07,286.0
1975-07-14,287.0
1975-07-21,284.1
1975-07-28,280.6
1975-08-04,283.6
1975-08-11,283.0
1975-08-18,283.5
1975-08-25,281.2
1975-09-01,282.5
1975-09-08,286.0
1975-09-15,288.4
1975-09-22,282.0
1975-09-29,281.0
1975-10-06,284.0
1975-10-13,285.8
1975-10-20,286.6
1975-10-27,281.5
1975-11-03,288.4
1975-11-10,291.2
1975-11-17,290.8
1975-11-24,287.5
1975-12-01,291.8
1975-12-08,292.6
1975-12-15,295.5
1975-12-22,295.0
1975-12-29,296.9
1976-01-05,302.2
1976-01-12,297.3
1976-01-19,294.3
1976-01-26,285.6
1976-02-02,286.5
1976-02-09,287.3
1976-02-16,287.5
1976-02-23,281.4
1976-03-01,284.2
1976-03-08,286.6
1976-03-15,289.4
1976-03-22,286.0
1976-03-29,286.7
1976-04-05,293.1
1976-04-12,298.5
1976-04-19,300.6
1976-04-26,293.7
1976-05-03,291.7
1976-05-10,292.7
1976-05-17,291.8
1976-05-24,288.3
1976-05-31,292.3
1976-06-07,295.1
1976-06-14,298.1
1976-06-21,295.6
1976-06-28,292.7
1976-07-05,299.4
1976-07-12,300.6
1976-07-19,300.2
1976-07-26,294.8
1976-08-02,297.1
1976-08-09,298.3
1976-08-16,299.6
1976-08-23,295.1
1976-08-30,294.8
1976-09-06,297.2
1976-09-13,303.4
1976-09-20,299.8
1976-09-27,294.3
1976-10-04,301.5
1976-10-11,304.4
1976-10-18,303.4
1976-10-25,300.3
1976-11-01,304.8
1976-11-08,305.7
1976-11-15,308.2
1976-11-22,302.9
1976-11-29,304.8
1976-12-06,311.0
1976-12-13,313.2
1976-12-20,315.6
1976-12-27,315.0
1977-01-03,323.3
1977-01-10,319.8
1977-01-17,315.8
1977-01-24,307.2
1977-01-31,303.9
1977-02-07,307.1
1977-02-14,307.3
1977-02-21,302.8
1977-02-28,303.0
1977-03-07,308.0
1977-03-14,310.3
1977-03-21,308.5
1977-03-28,305.2
1977-04-04,315.6
1977-04-11,321.5
1977-04-18,322.0
1977-04-25,315.9
1977-05-02,314.0
1977-05-09,312.3
1977-05-16,313.6
1977-05-23,308.9
1977-05-30,310.0
1977-06-06,316.7
1977-06-13,318.5
1977-06-20,319.4
1977-06-27,314.9
1977-07-04,323.3
1977-07-11,324.6
1977-07-18,324.8
1977-07-25,317.9
1977-08-01,320.3
1977-08-08,321.7
1977-08-15,321.5
1977-08-22,318.3
1977-08-29,318.0
1977-09-05,323.6
1977-09-12,327.1
1977-09-19,325.5
1977-09-26,319.1
1977-10-03,326.1
1977-10-10,329.0
1977-10-17,329.7
1977-10-24,325.2
1977-10-31,327.0
1977-11-07,332.5
1977-11-14,333.6
1977-11-21,329.9
1977-11-28,329.3
1977-12-05,336.7
1977-12-12,337.8
1977-12-19,340.9
1977-12-26,338.5
1978-01-02,349.6
1978-01-09,348.0
1978-01-16,342.9
1978-01-23,334.7
1978-01-30,326.7
1978-02-06,330.1
1978-02-13,330.4
1978-02-20,326.7
1978-02-27,324.8
1978-03-06,331.5
1978-03-13,331.8
1978-03-20,330.8
1978-03-27,327.2
1978-04-03,337.7
1978-04-10,343.9
1978-04-17,345.8
1978-04-24,342.5
1978-05-01,343.3
1978-05-08,338.0
1978-05-15,339.3
1978-05-22,335.8
1978-05-29,337.2
1978-06-05,345.4
1978-06-12,347.6
1978-06-19,346.5
1978-06-26,340.8
1978-07-03,350.5
1978-07-10,353.1
1978-07-17,350.5
1978-07-24,345.1
1978-07-31,346.4
1978-08-07,349.0
1978-08-14,350.8
1978-08-21,346.6
1978-08-28,343.4
1978-09-04,352.0
1978-09-11,356.5
1978-09-18,355.1
1978-09-25,347.6
1978-10-02,352.8
1978-10-09,356.7
1978-10-16,359.7
1978-10-23,351.0
1978-10-30,351.8
1978-11-06,359.6
1978-11-13,360.7
1978-11-20,358.3
1978-11-27,355.3
1978-12-04,364.3
1978-12-11,365.3
1978-12-18,367.4
1978-12-25,366.0
1979-01-01,377.4
1979-01-08,374.0
1979-01-15,369.1
1979-01-22,358.9
1979-01-29,349.7
1979-02-05,356.6
1979-02-12,354.2
1979-02-19,350.6
1979-02-26,347.4
1979-03-05,356.4
1979-03-12,357.1
1979-03-19,356.7
1979-03-26,351.5
1979-04-02,361.1
1979-04-09,369.9
1979-04-16,377.9
1979-04-23,372.7
1979-04-30,366.7
1979-05-07,364.6
1979-05-14,364.0
1979-05-21,361.2
1979-05-28,357.8
1979-06-04,371.0
1979-06-11,373.6
1979-06-18,373.6
1979-06-25,367.7
1979-07-02,375.1
1979-07-09,381.6
1979-07-16,382.3
1979-07-23,374.7
1979-07-30,374.2
1979-08-06,378.2
1979-08-13,379.8
1979-08-20,377.5
1979-08-27,372.9
1979-09-03,377.6
1979-09-10,384.9
1979-09-17,384.2
1979-09-24,375.4
1979-10-01,380.4
1979-10-08,385.3
1979-10-15,387.6
1979-10-22,379.4
1979-10-29,377.3
1979-11-05,386.0
1979-11-12,386.8
1979-11-19,385.3
1979-11-26,380.2
1979-12-03,385.6
1979-12-10,390.3
1979-12-17,392.7
1979-12-24,391.6
1979-12-31,401.0
1980-01-07,403.9
1980-01-14,396.3
1980-01-21,386.6
1980-01-28,376.9
1980-02-04,385.0
1980-02-11,384.1
1980-02-18,381.4
1980-02-25,374.9
1980-03-03,381.0
1980-03-10,384.8
1980-03-17,385.2
1980-03-24,377.7
1980-03-31,379.7
1980-04-07,392.3
1980-04-14,392.4
1980-04-21,388.7
1980-04-28,377.2
1980-05-05,379.9
1980-05-12,378.2
1980-05-19,378.1
1980-05-26,372.7
1980-06-02,381.9
1980-06-09,387.7
1980-06-16,391.1
1980-06-23,384.4
1980-06-30,387.0
1980-07-07,397.6
1980-07-14,399.7
1980-07-21,392.8
1980-07-28,388.9
1980-08-04,399.6
1980-08-11,401.6
1980-08-18,398.6
1980-08-25,393.3
1980-09-01,397.9
1980-09-08,408.1
1980-09-15,410.9
1980-09-22,402.3
1980-09-29,398.0
1980-10-06,412.8
1980-10-13,414.2
1980-10-20,411.9
1980-10-27,405.3
1980-11-03,412.6
1980-11-10,418.3
1980-11-17,419.1
1980-11-24,410.9
1980-12-01,415.8
1980-12-08,419.4
1980-12-15,421.4
1980-12-22,419.0
1980-12-29,415.8
1981-01-05,430.1
1981-01-12,423.6
1981-01-19,419.8
1981-01-26,404.7
1981-02-02,403.3
1981-02-09,408.7
1981-02-16,407.4
1981-02-23,402.6
1981-03-02,404.5
1981-03-09,414.3
1981-03-16,414.6
1981-03-23,408.3
1981-03-30,409.8
1981-04-06,429.4
1981-04-13,433.9
1981-04-20,439.7
1981-04-27,425.4
1981-05-04,423.5
1981-05-11,422.5
1981-05-18,418.9
1981-05-25,411.0
1981-06-01,417.6
1981-06-08,424.4
1981-06-15,427.2
1981-06-22,421.3
1981-06-29,416.4
1981-07-06,435.0
1981-07-13,432.3
1981-07-20,427.7
1981-07-27,419.5
1981-08-03,425.0
1981-08-10,433.5
1981-08-17,427.2
1981-08-24,420.0
1981-08-31,420.8
1981-09-07,429.6
1981-09-14,436.5
1981-09-21,427.5
1981-09-28,415.7
1981-10-05,430.6
1981-10-12,433.5
1981-10-19,432.8
1981-10-26,423.2
1981-11-02,428.0
1981-11-09,437.1
1981-11-16,437.8
1981-11-23,429.2
1981-11-30,435.4
1981-12-07,446.5
1981-12-14,445.3
1981-12-21,447.0
1981-12-28,445.9
1982-01-04,462.5
1982-01-11,461.7
1982-01-18,451.4
1982-01-25,435.0
1982-02-01,434.2
1982-02-08,436.5
1982-02-15,434.5
1982-02-22,428.0
1982-03-01,430.1
1982-03-08,439.0
1982-03-15,439.0
1982-03-22,432.8
1982-03-29,429.4
1982-04-05,449.7
1982-04-12,456.9
1982-04-19,458.2
1982-04-26,444.9
1982-05-03,439.3
1982-05-10,445.4
1982-05-17,441.8
1982-05-24,436.0
1982-05-31,438.4
1982-06-07,451.4
1982-06-14,452.8
1982-06-21,446.3
1982-06-28,435.5
1982-07-05,451.6
1982-07-12,457.4
1982-07-19,450.0
1982-07-26,441.8
1982-08-02,445.6
1982-08-09,454.0
1982-08-16,452.4
1982-08-23,446.7
1982-08-30,444.8
1982-09-06,457.5
1982-09-13,464.6
1982-09-20,459.0
1982-09-27,445.9
1982-10-04,461.5
1982-10-11,469.5
1982-10-18,468.5
1982-10-25,459.1
1982-11-01,465.3
1982-11-08,476.1
1982-11-15,478.3
1982-11-22,470.8
1982-11-29,471.0
1982-12-06,483.9
1982-12-13,488.0
1982-12-20,486.0
1982-12-27,482.9
1983-01-03,493.2
1983-01-10,497.7
1983-01-17,486.9
1983-01-24,472.0
1983-01-31,467.5
1983-02-07,477.9
1983-02-14,475.5
1983-02-21,470.5
1983-02-28,472.5
1983-03-07,486.3
1983-03-14,484.9
1983-03-21,482.3
1983-03-28,476.3
1983-04-04,497.5
1983-04-11,504.2
1983-04-18,502.8
1983-04-25,492.2
1983-05-02,489.1
1983-05-09,497.0
1983-05-16,497.4
1983-05-23,490.6
1983-05-30,488.6
1983-06-06,507.3
1983-06-13,509.4
1983-06-20,505.3
1983-06-27,494.0
1983-07-04,510.2
1983-07-11,519.9
1983-07-18,511.7
1983-07-25,502.1
1983-08-01,505.4
1983-08-08,513.9
1983-08-15,513.0
1983-08-22,506.1
1983-08-29,499.7
1983-09-05,513.3
1983-09-12,519.5
1983-09-19,513.5
1983-09-26,501.1
1983-10-03,510.9
1983-10-10,523.4
1983-10-17,522.3
1983-10-24,511.9
1983-10-31,509.8
1983-11-07,523.5
1983-11-14,526.1
1983-11-21,520.9
1983-11-28,517.6
1983-12-05,529.4
1983-12-12,533.0
1983-12-19,533.2
1983-12-26,529.4
1984-01-02,541.3
1984-01-09,551.0
1984-01-16,536.8
1984-01-23,520.5
1984-01-30,508.8
1984-02-06,522.1
1984-02-13,519.4
1984-02-20,516.0
1984-02-27,510.3
1984-03-05,523.7
1984-03-12,525.9
1984-03-19,524.0
